date,missing_rows
2022-01-01,24
2022-01-02,24
2022-01-03,24
2022-01-04,24
2022-01-05,23
2022-01-06,24
2022-01-07,24
2022-01-08,24
2022-01-09,24
2022-01-10,24
2022-01-11,24
2022-01-12,24
2022-01-13,24
2022-01-14,24
2022-01-15,24
2022-01-16,24
2022-01-17,22
2022-01-18,19
2022-01-19,19
2022-01-20,21
2022-01-21,18
2022-01-22,18
2022-01-23,16
2022-01-24,17
2022-01-25,17
2022-01-26,17
2022-01-27,18
2022-01-28,18
2022-01-29,17
2022-01-30,20
2022-01-31,17
2022-02-01,17
2022-02-02,17
2022-02-03,16
2022-02-04,16
2022-02-05,17
2022-02-06,17
2022-02-07,17
2022-02-08,17
2022-02-09,16
2022-02-10,16
2022-02-11,16
2022-02-12,15
2022-02-13,3
2022-02-14,0
2022-02-15,0
2022-02-16,0
2022-02-17,2
2022-02-18,16
2022-02-19,17
2022-02-20,17
2022-02-21,17
2022-02-22,17
2022-02-23,15
2022-02-24,19
2022-02-25,14
2022-02-26,14
2022-02-27,15
2022-02-28,16
2022-03-01,14
2022-03-02,14
2022-03-03,15
2022-03-04,14
2022-03-05,17
2022-03-06,15
2022-03-07,14
2022-03-08,15
2022-03-09,15
2022-03-10,15
2022-03-11,14
2022-03-12,17
2022-03-13,14
2022-03-14,16
2022-03-15,14
2022-03-16,21
2022-03-17,24
2022-03-18,24
2022-03-19,24
2022-03-20,24
2022-03-21,24
2022-03-22,20
2022-03-23,15
2022-03-24,15
2022-03-25,15
2022-03-26,14
2022-03-27,14
2022-03-28,14
2022-03-29,14
2022-03-30,14
2022-03-31,14
2022-04-01,15
2022-04-02,6
2022-04-03,6
2022-04-04,14
2022-04-05,14
2022-04-06,14
2022-04-07,14
2022-04-08,22
2022-04-09,13
2022-04-10,13
2022-04-11,13
2022-04-12,13
2022-04-13,15
2022-04-14,16
2022-04-15,15
2022-04-16,15
2022-04-17,14
2022-04-18,15
2022-04-19,13
2022-04-20,14
2022-04-21,13
2022-04-22,14
2022-04-23,16
2022-04-24,14
2022-04-25,13
2022-04-26,13
2022-04-27,14
2022-04-28,14
2022-04-29,15
2022-04-30,15
2022-05-01,15
2022-05-02,13
2022-05-03,15
2022-05-04,15
2022-05-05,14
2022-05-06,14
2022-05-07,14
2022-05-08,15
2022-05-09,14
2022-05-10,14
2022-05-11,14
2022-05-12,14
2022-05-13,14
2022-05-14,15
2022-05-15,13
2022-05-16,13
2022-05-17,12
2022-05-18,23
2022-05-19,24
2022-05-20,24
2022-05-21,12
2022-05-22,16
2022-05-23,14
2022-05-24,13
2022-05-25,14
2022-05-26,16
2022-05-27,16
2022-05-28,15
2022-05-29,13
2022-05-30,12
2022-05-31,12
2022-06-01,12
2022-06-02,12
2022-06-03,11
2022-06-04,13
2022-06-05,13
2022-06-06,14
2022-06-07,15
2022-06-08,23
2022-06-09,15
2022-06-10,15
2022-06-11,13
2022-06-12,12
2022-06-13,12
2022-06-14,12
2022-06-15,12
2022-06-16,11
2022-06-17,11
2022-06-18,14
2022-06-19,13
2022-06-20,22
2022-06-21,12
2022-06-22,12
2022-06-23,13
2022-06-24,13
2022-06-25,13
2022-06-26,21
2022-06-27,15
2022-06-28,15
2022-06-29,13
2022-06-30,21
