datetime,static_occ,dynamic_occ,static_price,dynamic_price,traffic_score,base_entries,actual_entries,lost_entries_step
2022-06-01 09:55:00,0.45021267269686605,0.7010163834611046,1.5,1.45,4.8993214699440495,0.0,0.0,0.0
2022-06-01 10:00:00,0.39706955899125096,0.7220552133539825,1.5,1.45,4.631814635416679,0.0,0.0,0.0
2022-06-01 10:05:00,0.6997989336158545,0.7412486712938177,1.5,1.45,5.589176058808032,0.0,0.0,0.0
2022-06-01 10:10:00,0.8336713279820965,0.8429778838811814,1.5,1.45,6.040521946158094,0.0,0.0,0.0
2022-06-01 10:15:00,1.0530115192625358,0.6519007143454457,1.5,1.45,6.059371137450668,0.0,0.0,0.0
2022-06-01 10:20:00,0.9282541913476741,0.7710310276807373,1.5,1.45,5.82472733712007,0.0,0.0,0.0
2022-06-01 10:25:00,1.1066677469230481,0.7019746764334281,1.5,1.45,6.250081511575923,0.0,0.0,0.0
2022-06-01 10:30:00,1.2435185888909932,0.9320614469372973,1.5,1.45,6.052146096173095,0.0,0.0,0.0
2022-06-01 10:35:00,1.0513860334857474,0.9228940240395468,1.5,1.45,5.652874199452966,0.0,0.0,0.0
2022-06-01 10:40:00,0.9779689543956377,0.6652653058858762,1.5,1.45,5.4418619071949035,0.17953781436433602,0.1849211945581543,-0.005383380193818288
2022-06-01 10:45:00,0.9595384352540803,0.7660684288117009,1.5,1.45,4.405791745601658,0.6974390227186749,0.7465914326950809,-0.04915240997640602
2022-06-01 10:50:00,0.9915882725521544,0.9838975026846791,1.5,1.45,4.540825033831234,1.106060293797063,1.2770576687580983,-0.1709973749610354
2022-06-01 10:55:00,0.869933827834858,0.8903782025920334,1.5,1.45,4.243295250567758,3.5024307711277043,4.361708420546949,-0.8592776494192451
2022-06-01 11:00:00,0.8319324994654845,1.3999014062551771,1.5,1.45,4.397527314475214,8.219059473484085,14.686876550427819,-6.467817076943733
2022-06-01 11:05:00,0.5742990982236297,1.264838534839363,1.5,1.45,5.612278121104863,7.9430358489946125,12.223441401313229,-4.280405552318617
2022-06-01 11:10:00,0.7919136967562532,1.0708700014854913,1.5,1.45,5.741847912141422,4.507557980057812,5.3822064594869,-0.8746484794290881
2022-06-01 11:15:00,0.8944253294722853,1.039931962302208,1.5,1.45,5.9376289907581405,4.207342600593797,5.097488007854989,-0.8901454072611923
2022-06-01 11:20:00,1.2418765660111013,1.400482704368591,1.5,1.45,4.669397746954043,2.781663644720146,4.159292060828898,-1.377628416108752
2022-06-01 11:25:00,1.0472505177613645,1.5608749265422772,1.5,1.45,4.520940869128688,6.911499547903348,10.42434121147584,-3.512841663572492
2022-06-01 11:30:00,0.9000021128762229,1.7024929688747836,1.5,1.45,4.85699529292211,7.367580615231727,11.535542069469704,-4.167961454237977
2022-06-01 11:35:00,0.810151538073501,1.552407824317284,1.5,1.45,2.662744158414305,3.710042472892917,5.991660413701798,-2.281617940808881
