datetime,Static_occ,Classic_occ,Static_price,Classic_price,traffic_score,base_entries,actual_entries,lost_entries_step
2022-06-22 15:10:00,41.8561237115586,62.870042704643005,1.5,1.45,7.461419549951136,0.0,0.0,0.0
2022-06-22 15:15:00,38.773269989413315,50.67166022502313,1.5,1.45,9.11735618172692,0.0,0.0,0.0
2022-06-22 15:20:00,41.26700008486372,31.04497228641138,1.5,1.45,8.543840546756915,0.575616206277918,0.5533396711116392,0.02227653516627881
2022-06-22 15:25:00,46.61658085340339,28.83355339609338,1.5,1.45,10.53546583569262,1.1996554604150147,1.0613304967675523,0.13832496364746238
2022-06-22 15:30:00,53.41305542090785,31.7818173885891,1.5,1.45,10.06405374053228,1.484639864167286,1.3229130363253616,0.16172682784192438
2022-06-22 15:35:00,61.71858334750174,38.683537931665114,1.5,1.45,10.187462878994467,1.284032715766759,1.2002526603481138,0.0837800554186452
2022-06-22 15:40:00,52.75572408486794,38.322063220812204,1.5,1.45,10.16251515969902,0.5539075814856774,0.52466529507234,0.02924228641333737
2022-06-22 15:45:00,53.198790566262495,36.575929576758305,1.5,1.45,9.732224322944594,1.1054522095812052,0.9675479656024721,0.13790424397873302
2022-06-22 15:50:00,60.672324868362,38.60169663877661,1.5,1.45,10.784524935312476,0.15201931794600587,0.13541257967403753,0.016606738271968347
2022-06-22 15:55:00,62.24299102846271,30.322123788090554,1.5,1.45,10.67573875434066,0.0,0.0,0.0
2022-06-22 16:00:00,60.665046422389,38.174175910327584,1.5,1.5,11.639006193225299,4.526406431979995,4.284999250686155,0.2414071812938392
2022-06-22 16:05:00,64.4882874768389,27.845671080128575,1.5,1.5,9.994967215922177,0.0,0.0,0.0
2022-06-22 16:10:00,69.51468170139147,27.30545456584834,1.5,1.5,9.107541167551787,0.0,0.0,0.0
2022-06-22 16:15:00,49.958796264965,20.60599026503964,1.5,1.5,9.475321512772913,0.0,0.0,0.0
2022-06-22 16:20:00,42.65757245588666,11.816786463542899,1.5,1.5,8.386855626390796,0.0,0.0,0.0
2022-06-22 16:25:00,43.35232259809903,14.10472465064542,1.5,1.5,7.28505718392518,0.0,0.0,0.0
2022-06-22 16:30:00,64.21259930502633,30.470239161235604,1.5,1.5,7.177716894261496,8.327044151669924,8.009830526676,0.3172136249939239
2022-06-22 16:35:00,67.95092667921944,45.19815618485632,1.5,1.5,6.091057836412519,9.433731070566111,11.049110138926443,-1.6153790683603315
2022-06-22 16:40:00,71.87131378526118,39.87102922171524,1.5,1.5,5.23758899275317,1.9377887625123458,1.9188591258129237,0.018929636699422048
2022-06-22 16:45:00,75.8231553699879,38.15882547305792,1.5,1.5,4.244822879285959,4.975224874799612,5.101416096311426,-0.12619122151181372
2022-06-22 16:50:00,75.7010773179654,40.246707613397405,1.5,1.5,4.911457387412173,13.207796157838358,13.090206608389645,0.11758954944871292
2022-06-22 16:55:00,70.2400328867945,52.370225120974006,1.5,1.5,4.380691140165529,7.183012357545392,9.252448454385348,-2.069436096839956
2022-06-22 17:00:00,84.45138360921378,66.31995488308786,1.5,1.5,4.828906290893104,3.8839325851585844,5.132136294729485,-1.2482037095709009
2022-06-22 17:05:00,75.15334168239653,91.29555948005665,1.5,1.5,2.1459244358285074,1.5206515954946758,2.7799288586688964,-1.2592772631742206
2022-06-22 17:10:00,88.32109160734618,85.90490060019789,1.5,1.5,3.6276875883931887,0.0,0.0,0.0
2022-06-22 17:15:00,74.41818608733743,76.07596496153451,1.5,1.5,3.8731865844730664,0.0,0.0,0.0
2022-06-22 17:20:00,80.98819852395611,80.27549538520162,1.5,1.5,3.8454074407630943,0.0,0.0,0.0
2022-06-22 17:25:00,70.13713247695325,77.48934310479783,1.5,1.5,3.756270021329877,0.0,0.0,0.0
2022-06-22 17:30:00,73.3308861445695,70.18712428490583,1.5,1.5,2.7936603949473477,0.0,0.0,0.0
2022-06-22 17:35:00,91.62967111652007,81.2596675456876,1.5,1.5,2.4574391502523643,0.0,0.0,0.0
2022-06-22 17:40:00,65.77891833407115,69.67100273035416,1.5,1.5,2.8476877404516063,0.0,0.0,0.0
2022-06-22 17:45:00,70.18221322404118,87.45357464019938,1.5,1.5,2.041232148156541,7.390276335150313,11.973366121874882,-4.583089786724569
2022-06-22 17:50:00,85.5811990560853,84.27950294442964,1.5,1.5,0.647851375747166,0.3633073043968791,0.5746178796559818,-0.21131057525910268
2022-06-22 17:55:00,65.92208642305226,74.79242349045586,1.5,1.5,1.2670184559990512,10.430699929377083,13.524846829377864,-3.0941469000007817
2022-06-22 18:00:00,73.92275266480922,73.7164311955466,1.5,1.45,1.907960834896305,8.1359311551265,10.381357039085337,-2.2454258839588377
2022-06-22 18:05:00,73.06982272158636,72.90264458886486,1.5,1.45,4.247124202198425,17.194579244470226,22.23561246894065,-5.041033224470425
2022-06-22 18:10:00,58.652952157663066,77.60395862381783,1.5,1.45,2.7944197323680995,17.52913880627678,22.419601463159495,-4.890462656882715
2022-06-22 18:15:00,64.81257945272053,67.89645303308545,1.5,1.45,4.599658465847398,0.28965788624483935,0.3041958381667256,-0.014537951921886227
2022-06-22 18:20:00,66.39209609084638,65.00085867552936,1.5,1.45,6.560223190098223,8.055974867736257,8.333499542877185,-0.2775246751409277
2022-06-22 18:25:00,75.59569911007719,65.26644863015711,1.5,1.45,6.064924224323149,6.274075677603626,6.428786947766738,-0.15471127016311126
2022-06-22 18:30:00,93.03862981729277,94.33862280849074,1.5,1.45,3.651073390352698,16.214639969861317,20.939243548090026,-4.7246035782287095
2022-06-22 18:35:00,84.23083551017827,84.48672325463843,1.5,1.45,2.848620566058572,5.4113553396451985,6.480430879461658,-1.0690755398164598
2022-06-22 18:40:00,95.74010200888036,96.84641205461699,1.5,1.45,3.694537966796768,0.1346349370234874,0.17291425903568178,-0.03827932201219439
2022-06-22 18:45:00,89.86393123238739,133.7609626938076,1.5,1.45,2.8636564145837093,4.125211924138936,7.29893014341801,-3.173718219279074
2022-06-22 18:50:00,103.9545790747307,124.44935503827972,1.5,1.45,3.756141932853763,14.762455481505981,23.561270516177295,-8.798815034671314
2022-06-22 18:55:00,88.909754901435,141.07397109351024,1.5,1.45,3.5125317374643132,2.7274739012361926,4.721013659062181,-1.9935397578259884
2022-06-22 19:00:00,99.59305257166457,130.50796166220593,1.5,1.45,2.8008781738152537,7.145191966395519,10.626709535368395,-3.481517568972876
2022-06-22 19:05:00,106.0410035248646,142.0443384542558,1.5,1.45,1.694495693223931,12.623269975388922,20.393157568228737,-7.769887592839815
2022-06-22 19:10:00,128.68979975055487,105.01888548560895,1.5,1.45,3.631641016735258,22.831657402088783,27.717451154489815,-4.885793752401032
