datetime,Classic_occ,AI_occ,Classic_price,AI_price,traffic_score,base_entries,actual_entries,lost_entries_step
2022-06-26 03:20:00,76.91930652793434,180.0,2.011364680071837,1.75,0.8473777233505332,6.75,14.68640618726931,-7.936406187269309
2022-06-26 03:25:00,69.52784693612283,180.0,2.011364680071837,1.75,0.7094244151899767,6.75,15.41661387764787,-8.66661387764787
2022-06-26 03:30:00,75.20858439164022,180.0,2.011364680071837,1.75,0.28294262855673025,6.75,14.413037407805964,-7.663037407805964
2022-06-26 03:35:00,92.71690494953364,180.0,2.011364680071837,1.75,0.0,6.75,12.665715566990029,-5.915715566990029
2022-06-26 03:40:00,136.18388892230905,180.0,2.0031202897375513,1.75,0.7279208230373677,6.75,15.36255711514721,-8.61255711514721
2022-06-26 03:45:00,122.52444246611631,180.0,2.0031202897375513,1.75,1.4047786400987543,6.75,15.593324961315512,-8.843324961315512
2022-06-26 03:50:00,134.35581976489766,180.0,2.0031202897375513,1.75,1.76362395053026,6.75,11.73866311385006,-4.988663113850061
2022-06-26 03:55:00,108.92965409722893,180.0,2.0031202897375513,1.75,2.0788484091235846,6.75,10.882927526574136,-4.132927526574136
2022-06-26 04:00:00,77.77058040950772,142.77563770511378,1.968553549068906,1.75,1.0278175983079905,0.0,0.0,0.0
2022-06-26 04:05:00,106.34037558515159,180.0,1.968553549068906,1.75,0.7890410940931889,0.0,0.0,0.0
2022-06-26 04:10:00,122.89209318684557,180.0,1.968553549068906,1.75,0.0,0.0,0.0,0.0
2022-06-26 04:15:00,121.8776694399046,173.09093076544082,1.968553549068906,1.75,0.0,0.0,0.0,0.0
2022-06-26 04:20:00,118.54917533569615,180.0,1.912460019303929,1.75,0.0,0.0,0.0,0.0
2022-06-26 04:25:00,118.27802115273423,180.0,1.912460019303929,1.75,0.030668220367195742,0.0,0.0,0.0
2022-06-26 04:30:00,180.0,149.83430672091635,1.912460019303929,1.75,0.45183761859938343,0.0,0.0,0.0
2022-06-26 04:35:00,180.0,148.23027547432238,1.912460019303929,1.75,0.037231443567416145,0.0,0.0,0.0
2022-06-26 04:40:00,180.0,130.875775321347,1.8890987205869956,1.75,1.4948213825538161,0.0,0.0,0.0
2022-06-26 04:45:00,180.0,147.13272087529623,1.8890987205869956,1.75,1.5157462028303743,0.0,0.0,0.0
2022-06-26 04:50:00,180.0,161.938000973219,1.8890987205869956,1.75,1.9188323460498815,0.0,0.0,0.0
