date,hour,parking_lot,entries,exits,occupancy_forecast
2022-06-08,8,P023,0,3,45
2022-06-08,9,P023,0,11,34
2022-06-08,10,P023,0,5,29
2022-06-08,11,P023,0,0,29
2022-06-08,12,P023,3,0,32
2022-06-08,13,P023,0,4,28
2022-06-08,14,P023,0,5,23
2022-06-08,15,P023,2,0,25
2022-06-08,16,P023,10,0,35
2022-06-08,17,P023,7,0,42
2022-06-08,18,P023,5,0,47
2022-06-08,19,P023,8,0,55
2022-06-08,20,P023,2,0,57
2022-06-08,21,P023,2,0,59
2022-06-08,22,P023,0,0,59
2022-06-08,23,P023,1,0,60
2022-06-09,0,P023,0,0,60
2022-06-09,1,P023,0,0,60
2022-06-09,2,P023,1,0,61
2022-06-09,3,P023,0,0,61
2022-06-09,4,P023,0,0,61
2022-06-09,5,P023,0,0,61
2022-06-09,6,P023,0,0,61
2022-06-09,7,P023,0,9,52
2022-06-09,8,P023,0,15,37
2022-06-09,9,P023,0,5,32
2022-06-09,10,P023,0,6,26
2022-06-09,11,P023,2,0,28
2022-06-09,12,P023,9,0,37
2022-06-09,13,P023,0,5,32
2022-06-09,14,P023,0,1,31
2022-06-09,15,P023,0,3,28
2022-06-09,16,P023,4,0,32
2022-06-09,17,P023,10,0,42
2022-06-09,18,P023,8,0,50
2022-06-09,19,P023,3,0,53
2022-06-09,20,P023,0,1,52
2022-06-09,21,P023,0,1,51
2022-06-09,22,P023,1,0,52
2022-06-09,23,P023,5,0,57
2022-06-10,0,P023,0,2,55
2022-06-10,1,P023,1,0,56
2022-06-10,2,P023,1,0,57
2022-06-10,3,P023,1,0,58
2022-06-10,4,P023,0,0,58
2022-06-10,5,P023,0,0,58
2022-06-10,6,P023,0,3,55
2022-06-10,7,P023,0,7,48
2022-06-10,8,P023,0,10,38
2022-06-10,9,P023,2,0,40
2022-06-10,10,P023,9,0,49
2022-06-10,11,P023,0,0,49
2022-06-10,12,P023,0,1,48
2022-06-10,13,P023,0,0,48
2022-06-10,14,P023,0,0,48
2022-06-10,15,P023,0,0,48
2022-06-10,16,P023,1,0,49
2022-06-10,17,P023,4,0,53
2022-06-10,18,P023,1,0,54
2022-06-10,19,P023,1,0,55
2022-06-10,20,P023,0,2,53
2022-06-10,21,P023,0,2,51
2022-06-10,22,P023,1,0,52
2022-06-10,23,P023,1,0,53
2022-06-11,0,P023,0,0,53
2022-06-11,1,P023,5,0,58
2022-06-11,2,P023,1,0,59
2022-06-11,3,P023,0,0,59
2022-06-11,4,P023,0,0,59
2022-06-11,5,P023,0,0,59
2022-06-11,6,P023,0,2,57
2022-06-11,7,P023,0,7,50
2022-06-11,8,P023,0,0,50
2022-06-11,9,P023,0,8,42
2022-06-11,10,P023,4,0,46
2022-06-11,11,P023,0,3,43
2022-06-11,12,P023,2,0,45
2022-06-11,13,P023,1,0,46
2022-06-11,14,P023,0,2,44
2022-06-11,15,P023,0,0,44
2022-06-11,16,P023,2,0,46
2022-06-11,17,P023,0,0,46
2022-06-11,18,P023,2,0,48
2022-06-11,19,P023,1,0,49
2022-06-11,20,P023,7,0,56
2022-06-11,21,P023,0,1,55
2022-06-11,22,P023,0,2,53
2022-06-11,23,P023,0,0,53
2022-06-12,0,P023,3,0,56
2022-06-12,1,P023,2,0,58
2022-06-12,2,P023,0,1,57
2022-06-12,3,P023,1,0,58
2022-06-12,4,P023,0,0,58
2022-06-12,5,P023,0,0,58
2022-06-12,6,P023,0,3,55
2022-06-12,7,P023,0,8,47
2022-06-12,8,P023,0,1,46
2022-06-12,9,P023,0,0,46
2022-06-12,10,P023,3,0,49
2022-06-12,11,P023,1,0,50
2022-06-12,12,P023,0,1,49
2022-06-12,13,P023,1,0,50
2022-06-12,14,P023,2,0,52
2022-06-12,15,P023,2,0,54
2022-06-12,16,P023,0,1,53
2022-06-12,17,P023,0,1,52
2022-06-12,18,P023,0,0,52
2022-06-12,19,P023,1,0,53
2022-06-12,20,P023,1,0,54
2022-06-12,21,P023,0,2,52
2022-06-12,22,P023,1,0,53
2022-06-12,23,P023,1,0,54
2022-06-13,0,P023,4,0,58
2022-06-13,1,P023,1,0,59
2022-06-13,2,P023,2,0,61
2022-06-13,3,P023,0,0,61
2022-06-13,4,P023,2,0,63
2022-06-13,5,P023,0,1,62
2022-06-13,6,P023,0,0,62
