local,day,latitude,longitude,score
Avenida da Républica,2021-11-01,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-02,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-03,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-04,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-05,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-06,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-07,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-08,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-09,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-10,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-15,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-16,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-17,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-18,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-19,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-20,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-21,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-22,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-23,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-24,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-25,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-26,38.73593143,-9.145660419,8
Avenida da Républica,2021-11-27,38.73593143,-9.145660419,7
Avenida da Républica,2021-11-28,38.73593143,-9.145660419,7
Avenida da Républica,2021-11-29,38.73593143,-9.145660419,10
Avenida da Républica,2021-11-30,38.73593143,-9.145660419,8
Avenida da Républica,2021-12-01,38.73593143,-9.145660419,7
Avenida da Républica,2021-12-02,38.73593143,-9.145660419,8
Avenida da Républica,2021-12-03,38.73593143,-9.145660419,9
Avenida da Républica,2021-12-04,38.73593143,-9.145660419,6
Avenida da Républica,2021-12-05,38.73593143,-9.145660419,6
Avenida da Républica,2021-12-06,38.73593143,-9.145660419,8
Avenida da Républica,2021-12-07,38.73593143,-9.145660419,7
Avenida da Républica,2021-12-08,38.73593143,-9.145660419,6
Avenida da Républica,2021-12-09,38.73593143,-9.145660419,8
Avenida da Républica,2021-12-11,38.73593143,-9.145660419,7
Avenida da Républica,2021-12-12,38.73593143,-9.145660419,7
Avenida da Républica,2021-12-13,38.73593143,-9.145660419,9
Avenida da Républica,2021-12-14,38.73593143,-9.145660419,8
Avenida da Républica,2021-12-15,38.73593143,-9.145660419,8
Avenida da Républica,2021-12-16,38.73593143,-9.145660419,8
Avenida da Républica,2022-01-17,38.73593143,-9.145660419,2
Avenida da Républica,2022-01-18,38.73593143,-9.145660419,7
Avenida da Républica,2022-01-19,38.73593143,-9.145660419,7
Avenida da Républica,2022-01-20,38.73593143,-9.145660419,6
