datetime,Classic_Stat_occ,Classic_Stat_price,Classic_Chronos_occ,Classic_Chronos_price,MCTS_Stat_occ,MCTS_Stat_price,MCTS_Chronos_occ,MCTS_Chronos_price,Forecast_Chronos,Forecast_Stat
2022-06-01 00:00:00,1.6839893187576966,1.5,180.0,1.5,180.0,1.5,180.0,1.6,162.26344299316406,1.523485582427429
2022-06-01 00:05:00,1.918468561360423,1.5,180.0,1.5,180.0,1.5,180.0,1.6,162.0234031677246,1.5144669863431375
2022-06-01 00:10:00,2.404138782896539,1.5,180.0,1.5,180.0,1.5,180.0,1.6,161.78336334228516,1.5071923973631294
2022-06-01 00:15:00,1.724956754065535,1.5,180.0,1.5,180.0,1.5,180.0,1.6,161.5433235168457,1.5902860080509837
2022-06-01 00:20:00,1.935450451441012,1.5,180.0,1.45,180.0,1.75,180.0,1.6,161.30328369140625,1.620274663672551
2022-06-01 00:25:00,1.848147184903821,1.5,180.0,1.45,180.0,1.75,180.0,1.6,161.0632438659668,1.5676150233464727
2022-06-01 00:30:00,2.620292940125163,1.5,180.0,1.45,180.0,1.75,180.0,1.6,160.82320404052734,1.5746091151428385
2022-06-01 00:35:00,2.756517594943312,1.5,180.0,1.45,180.0,1.75,180.0,1.6,160.5831642150879,1.5605588404075263
2022-06-01 00:40:00,2.5027429784180915,1.5,180.0,1.45,180.0,1.75,180.0,1.7000000000000002,160.34312438964844,1.5845828773629071
2022-06-01 00:45:00,1.9718990732614528,1.5,180.0,1.45,180.0,1.75,180.0,1.7000000000000002,160.10308456420898,1.58145515896315
2022-06-01 00:50:00,1.910215532833981,1.5,180.0,1.45,180.0,1.75,180.0,1.7000000000000002,159.86304473876953,1.5482967681084383
2022-06-01 00:55:00,180.0,1.5,180.0,1.45,180.0,1.75,180.0,1.7000000000000002,159.62300491333008,1.493518893848702
2022-06-01 01:00:00,1.9441322335291251,1.5,180.0,1.45,180.0,1.75,180.0,1.7000000000000002,159.38296508789062,1.52533716269047
2022-06-01 01:05:00,180.0,1.5,180.0,1.45,3.0742646854002587,1.75,180.0,1.7000000000000002,159.62300491333008,1.4867586837467222
2022-06-01 01:10:00,2.331959419676121,1.5,180.0,1.45,2.5146937132350113,1.75,180.0,1.7000000000000002,159.86304473876953,1.5053935262865816
2022-06-01 01:15:00,180.0,1.5,180.0,1.45,1.6293025521982754,1.75,180.0,1.7000000000000002,160.10308456420898,1.416649631441905
2022-06-01 01:20:00,180.0,1.45,180.0,1.47,1.6612776444360953,1.75,180.0,1.7000000000000002,160.34312438964844,1.361657489663651
2022-06-01 01:25:00,180.0,1.45,180.0,1.47,2.2952623434203994,1.75,180.0,1.7000000000000002,160.5831642150879,1.3114545001008044
2022-06-01 01:30:00,180.0,1.45,180.0,1.47,2.4139164613013597,1.75,180.0,1.7000000000000002,160.82320404052734,1.3078518069140035
2022-06-01 01:35:00,180.0,1.45,180.0,1.47,2.2539878445168986,1.75,180.0,1.7000000000000002,161.0632438659668,1.3305138864568455
2022-06-01 01:40:00,180.0,1.45,180.0,1.5033333333333334,1.8508379809697264,1.75,180.0,1.7000000000000002,161.30328369140625,1.3750929865617487
2022-06-01 01:45:00,180.0,1.45,180.0,1.5033333333333334,1.814378189384499,1.75,180.0,1.7000000000000002,161.5433235168457,1.3527378700503079
2022-06-01 01:50:00,180.0,1.45,180.0,1.5033333333333334,1.6726326906979663,1.75,180.0,1.7000000000000002,161.78336334228516,1.4538698610546188
2022-06-01 01:55:00,180.0,1.45,180.0,1.5033333333333334,1.6885317015988666,1.75,173.05943109377694,1.7000000000000002,162.0234031677246,1.4454437664915136
2022-06-01 02:00:00,180.0,1.45,180.0,1.6033333333333335,2.233523450611795,1.75,180.0,1.7000000000000002,162.26344299316406,1.4242622682377328
2022-06-01 02:05:00,180.0,1.45,180.0,1.6033333333333335,1.7801641146491956,1.75,180.0,1.7000000000000002,162.26344299316406,1.441507378235607
2022-06-01 02:10:00,180.0,1.45,180.0,1.6033333333333335,1.846678533189824,1.75,180.0,1.7000000000000002,162.26344299316406,1.4450963185144765
2022-06-01 02:15:00,2.166565549309577,1.45,180.0,1.6033333333333335,2.220209263245585,1.75,180.0,1.7000000000000002,162.26344299316406,1.512322607631594
2022-06-01 02:20:00,180.0,1.45,174.91454982266393,1.7033333333333336,1.717852656754579,1.75,173.40569282720796,1.7000000000000002,162.26344299316406,1.444058353417907
2022-06-01 02:25:00,180.0,1.45,180.0,1.7033333333333336,1.7022072573534053,1.75,180.0,1.7000000000000002,162.26344299316406,1.46605879640859
2022-06-01 02:30:00,3.229214083301642,1.45,180.0,1.7033333333333336,2.031826781922613,1.75,180.0,1.7000000000000002,162.26344299316406,1.5485998317621439
2022-06-01 02:35:00,180.0,1.45,180.0,1.7033333333333336,180.0,1.75,180.0,1.7000000000000002,162.26344299316406,1.487179642172928
2022-06-01 02:40:00,3.4429838530901304,1.4841357650182627,180.0,1.8033333333333337,180.0,1.75,180.0,1.7000000000000002,162.26344299316406,1.5568543577413552
2022-06-01 02:45:00,3.072868656541786,1.4841357650182627,180.0,1.8033333333333337,180.0,1.75,180.0,1.7000000000000002,162.26344299316406,1.5894660718347562
2022-06-01 02:50:00,2.454104838676876,1.4841357650182627,180.0,1.8033333333333337,180.0,1.75,175.2789415651943,1.7000000000000002,162.26344299316406,1.5935091834494606
2022-06-01 02:55:00,3.0910094734316287,1.4841357650182627,180.0,1.8033333333333337,180.0,1.75,180.0,1.7000000000000002,162.26344299316406,1.5797339118258487
