datetime,static_occ,dynamic_occ,static_price,dynamic_price,traffic_score,base_entries,actual_entries,lost_entries_step
2022-06-04 13:05:00,0.8581671550657913,0.8036691267863895,1.5,1.45,4.906900692559448,3.940134945558096,6.543180290914981,-2.6030453453568856
2022-06-04 13:10:00,1.4013907128851535,0.7488298972087254,1.5,1.45,3.1809539899267905,5.4910103403003285,8.542994464293239,-3.05198412399291
2022-06-04 13:15:00,1.3423787714172408,0.6662720009460072,1.5,1.45,3.033555960713189,0.0,0.0,0.0
2022-06-04 13:20:00,1.3013664366448825,0.8079319720779958,1.5,1.45,3.297522413231815,0.0,0.0,0.0
2022-06-04 13:25:00,1.0180911980136125,0.9043876554944543,1.5,1.45,3.5633755720247375,0.0,0.0,0.0
2022-06-04 13:30:00,1.0621198419779787,1.1354389085848398,1.5,1.45,3.4987979126303452,0.0,0.0,0.0
2022-06-04 13:35:00,0.8968975843740971,0.9882929716441083,1.5,1.45,4.0765240817364585,0.0,0.0,0.0
2022-06-04 13:40:00,0.8742053897016733,1.029671548897534,1.5,1.45,4.33350311211624,0.0,0.0,0.0
2022-06-04 13:45:00,1.2044952731615404,1.0983774106368651,1.5,1.45,5.446153012224139,0.0,0.0,0.0
2022-06-04 13:50:00,1.4568084258497893,1.3059837617217211,1.5,1.45,5.222189960379481,0.0,0.0,0.0
2022-06-04 13:55:00,1.766346474986143,1.6006895180038536,1.5,1.45,3.890377686354195,0.0,0.0,0.0
2022-06-04 14:00:00,1.4239039368631161,1.4015386797741936,1.5,1.45,4.738814548623583,0.599833583026758,1.33108391815686,-0.7312503351301018
2022-06-04 14:05:00,1.190116536847217,1.3307486337075116,1.5,1.45,4.63748803203708,2.05964631782751,4.600270639847211,-2.540624322019701
2022-06-04 14:10:00,0.979013414732825,1.2815818288598917,1.5,1.45,6.244906882614036,4.158117586856316,8.494044848304556,-4.33592726144824
2022-06-04 14:15:00,1.0208726984564498,1.3109775432275443,1.5,1.45,5.28590947980714,0.0,0.0,0.0
2022-06-04 14:20:00,0.9783689869362192,1.2134915583900714,1.5,1.45,5.762612468693707,0.0,0.0,0.0
2022-06-04 14:25:00,0.7634856305511744,1.2303695444779832,1.5,1.45,6.196609380963601,0.0,0.0,0.0
2022-06-04 14:30:00,0.9885041523754945,1.1666496313865864,1.5,1.45,6.132545882551523,0.0,0.0,0.0
2022-06-04 14:35:00,0.8170273252183284,1.3693182103555002,1.5,1.45,6.063611459328292,0.0,0.0,0.0
2022-06-04 14:40:00,0.7604860455610895,1.3666465179610066,1.5,1.45,6.139710654645394,0.0,0.0,0.0
2022-06-04 14:45:00,0.8992932657556019,1.1898208917659223,1.5,1.45,5.994747939416755,0.0,0.0,0.0
2022-06-04 14:50:00,0.5764740265227531,1.0892583642590485,1.5,1.45,6.022238309572866,1.4608929100011898,2.3840478085830625,-0.9231548985818727
2022-06-04 14:55:00,0.7107360344923498,1.26278812445079,1.5,1.45,6.226481030071983,0.036003422946935926,0.06847784187313766,-0.03247441892620173
2022-06-04 15:00:00,0.6782055335921681,0.9662415528011207,1.5,1.45,6.4421412464546295,2.814763577276202,4.055227294151924,-1.2404637168757215
2022-06-04 15:05:00,0.7544463255692396,0.8496027380063682,1.5,1.45,6.012130593007603,2.435124587388578,3.507866891562942,-1.0727423041743642
2022-06-04 15:10:00,1.0055675334488183,0.8181199546626362,1.5,1.45,5.098718395534136,0.0,0.0,0.0
2022-06-04 15:15:00,0.9161926567302571,0.8434808948711102,1.5,1.45,4.766948612082694,0.0,0.0,0.0
2022-06-04 15:20:00,1.0289567827530919,0.6765670785607228,1.5,1.45,4.8886626344681385,0.0,0.0,0.0
2022-06-04 15:25:00,1.0305622450913694,0.975357982202059,1.5,1.45,3.34123502307062,4.26664002167869,6.157209163122122,-1.8905691414434322
2022-06-04 15:30:00,0.9359351913671293,1.035234873735848,1.5,1.45,4.6376975950361645,5.909771566805664,8.794380242393677,-2.884608675588013
2022-06-04 15:35:00,1.0226405155848093,1.0689265983790985,1.5,1.45,5.016861407846937,0.4083379969584249,0.6350773999378706,-0.22673940297944573
2022-06-04 15:40:00,1.4313986955264888,0.9424640043666911,1.5,1.45,5.775909130808516,0.0,0.0,0.0
2022-06-04 15:45:00,1.2330979422214345,0.9092866935361803,1.5,1.45,6.451412629782332,3.0500723136390775,4.2020755412235475,-1.15200322758447
2022-06-04 15:50:00,1.2389769429992847,0.852816390868633,1.5,1.45,5.7091468520434985,0.0,0.0,0.0
2022-06-04 15:55:00,1.0871847828004082,1.0129807964975175,1.5,1.45,6.3845272608924635,0.0,0.0,0.0
2022-06-04 16:00:00,1.50964564271935,0.9031340447136058,1.5,1.45,6.670717819022934,0.0,0.0,0.0
2022-06-04 16:05:00,1.6406351470977127,1.0958320508831068,1.5,1.45,6.712109110804526,0.0,0.0,0.0
2022-06-04 16:10:00,1.9294779580485883,1.0525165750558607,1.5,1.45,6.8784637843340315,0.0,0.0,0.0
2022-06-04 16:15:00,1.557350958685908,1.1308158223243305,1.5,1.45,6.547759476636198,0.0,0.0,0.0
2022-06-04 16:20:00,1.4692354271366856,0.7356688843448023,1.5,1.45,6.663828502384033,0.0,0.0,0.0
2022-06-04 16:25:00,1.5762584960006478,0.7133374633915073,1.5,1.45,4.792411785928791,0.0,0.0,0.0
2022-06-04 16:30:00,1.5746653507406427,0.8833947383361809,1.5,1.45,4.735135557129666,0.0,0.0,0.0
2022-06-04 16:35:00,1.335345481644111,1.0605753170978047,1.5,1.45,3.4759393726433228,1.2163941827235092,1.541244410472788,-0.32485022774927885
2022-06-04 16:40:00,0.9755473864060675,1.346390386409232,1.5,1.45,3.712817405872052,0.0,0.0,0.0
2022-06-04 16:45:00,0.7183364979809813,1.2351954407304435,1.5,1.45,3.7956157463110842,0.0,0.0,0.0
2022-06-04 16:50:00,0.8375252687270657,1.2164092716044999,1.5,1.45,4.132442839232432,0.0,0.0,0.0
2022-06-04 16:55:00,1.1703007360359163,1.1115833305579035,1.5,1.45,4.096216368586653,0.7545257461860002,1.1032690862693983,-0.34874334008339813
2022-06-04 17:00:00,0.8285784854929572,1.2719282263508362,1.5,1.45,0.9865249174063719,3.4699489457822636,5.298932104553314,-1.8289831587710506
2022-06-04 17:05:00,0.859482262502162,1.2399876527882303,1.5,1.45,1.4908361913101764,0.0,0.0,0.0
2022-06-04 17:10:00,0.6801209814286377,1.4220267966068636,1.5,1.45,1.1691622066117957,0.0,0.0,0.0
2022-06-04 17:15:00,0.8515635758061578,1.6496544035015002,1.5,1.45,0.0,17.086671635869656,31.020155678864327,-13.933484042994671
2022-06-04 17:20:00,0.983962850947141,1.5446971673397165,1.5,1.45,0.0,5.830322770923182,10.202340268945344,-4.372017498022162
