date,hour,y_true,y_pred,abs_err,sq_err
2022-06-01,0,56.0,52.74324324324324,3.256756756756758,10.606464572680796
2022-06-01,1,56.0,53.229729729729726,2.7702702702702737,7.6743973703433355
2022-06-01,2,56.0,53.391891891891895,2.6081081081081052,6.80222790357924
2022-06-01,3,56.0,53.432432432432435,2.567567567567565,6.592403214024822
2022-06-01,4,55.0,53.36486486486486,1.6351351351351369,2.6736669101534023
2022-06-01,5,56.0,53.28378378378378,2.7162162162162176,7.3778305332359455
2022-06-01,6,54.0,52.472972972972975,1.5270270270270245,2.331811541270993
2022-06-01,7,44.0,48.96621621621622,4.966216216216218,24.663303506208926
2022-06-01,8,29.0,42.601351351351354,13.601351351351354,184.99675858290732
2022-06-01,9,20.0,35.472972972972975,15.472972972972975,239.41289262235216
2022-06-01,10,14.0,30.52027027027027,16.52027027027027,272.91932980277574
2022-06-01,11,12.0,29.14189189189189,17.14189189189189,293.84445763330893
2022-06-01,12,16.0,29.695945945945947,13.695945945945947,187.57893535427323
2022-06-01,13,10.0,29.945945945945947,19.945945945945947,397.8407596785976
2022-06-01,14,10.0,27.37837837837838,17.37837837837838,302.00803506208916
2022-06-01,15,17.0,27.43918918918919,10.43918918918919,108.97667092768445
2022-06-01,16,24.0,30.31756756756757,6.317567567567568,39.911659970781606
2022-06-01,17,36.0,35.608108108108105,0.3918918918918948,0.15357925493060853
2022-06-01,18,49.0,40.86486486486486,8.135135135135137,66.18042366691019
2022-06-01,19,51.0,45.33108108108108,5.668918918918919,32.13664170927685
2022-06-01,20,53.0,48.486486486486484,4.513513513513516,20.37180423666912
2022-06-01,21,55.0,50.08783783783784,4.912162162162161,24.12933710737764
2022-06-01,22,56.0,51.0,5.0,25.0
2022-06-01,23,56.0,51.91891891891892,4.081081081081081,16.65522279035792
2022-06-02,0,57.0,52.74324324324324,4.256756756756758,18.119978086194312
2022-06-02,1,57.0,53.229729729729726,3.7702702702702737,14.214937910883883
2022-06-02,2,57.0,53.391891891891895,3.6081081081081052,13.01844411979545
2022-06-02,3,57.0,53.432432432432435,3.567567567567565,12.727538349159952
2022-06-02,4,56.0,53.36486486486486,2.635135135135137,6.943937180423676
2022-06-02,5,57.0,53.28378378378378,3.7162162162162176,13.81026296566838
2022-06-02,6,52.0,52.472972972972975,0.47297297297297547,0.22370343316289498
2022-06-02,7,44.0,48.96621621621622,4.966216216216218,24.663303506208926
2022-06-02,8,29.0,42.601351351351354,13.601351351351354,184.99675858290732
2022-06-02,9,17.0,35.472972972972975,18.472972972972975,341.25073046019
2022-06-02,10,14.0,30.52027027027027,16.52027027027027,272.91932980277574
2022-06-02,11,12.0,29.14189189189189,17.14189189189189,293.84445763330893
2022-06-02,12,16.0,29.695945945945947,13.695945945945947,187.57893535427323
2022-06-02,13,14.0,29.945945945945947,15.945945945945947,254.27319211103
2022-06-02,14,19.0,27.37837837837838,8.378378378378379,70.19722425127831
2022-06-02,15,24.0,27.43918918918919,3.4391891891891895,11.828022279035794
2022-06-02,16,24.0,30.31756756756757,6.317567567567568,39.911659970781606
2022-06-02,17,29.0,35.608108108108105,6.608108108108105,43.66709276844408
2022-06-02,18,42.0,40.86486486486486,1.1351351351351369,1.2885317750182654
2022-06-02,19,46.0,45.33108108108108,0.6689189189189193,0.44745252008765574
2022-06-02,20,51.0,48.486486486486484,2.513513513513516,6.317750182615059
2022-06-02,21,52.0,50.08783783783784,1.9121621621621614,3.6563641344046722
2022-06-02,22,54.0,51.0,3.0,9.0
2022-06-02,23,54.0,51.91891891891892,2.0810810810810807,4.3308984660336
2022-06-03,0,54.0,52.74324324324324,1.256756756756758,1.5794375456537648
2022-06-03,1,55.0,53.229729729729726,1.7702702702702737,3.133856829802788
2022-06-03,2,55.0,53.391891891891895,1.6081081081081052,2.5860116873630297
2022-06-03,3,55.0,53.432432432432435,1.5675675675675649,2.457268078889692
2022-06-03,4,54.0,53.36486486486486,0.6351351351351369,0.40339663988312857
2022-06-03,5,55.0,53.28378378378378,1.7162162162162176,2.945398100803511
2022-06-03,6,51.0,52.472972972972975,1.4729729729729755,2.169649379108846
2022-06-03,7,39.0,48.96621621621622,9.966216216216218,99.3254656683711
2022-06-03,8,33.0,42.601351351351354,9.601351351351354,92.18594777209648
2022-06-03,9,26.0,35.472972972972975,9.472972972972975,89.73721694667645
2022-06-03,10,24.0,30.52027027027027,6.52027027027027,42.51392439737034
2022-06-03,11,24.0,29.14189189189189,5.141891891891891,26.439052227903574
2022-06-03,12,20.0,29.695945945945947,9.695945945945947,94.01136778670565
2022-06-03,13,15.0,29.945945945945947,14.945945945945947,223.3813002191381
2022-06-03,14,14.0,27.37837837837838,13.378378378378379,178.9810080350621
2022-06-03,15,22.0,27.43918918918919,5.4391891891891895,29.584779035792554
2022-06-03,16,21.0,30.31756756756757,9.317567567567568,86.81706537618702
2022-06-03,17,19.0,35.608108108108105,16.608108108108105,275.82925493060617
2022-06-03,18,29.0,40.86486486486486,11.864864864864863,140.7750182615047
2022-06-03,19,49.0,45.33108108108108,3.6689189189189193,13.46096603360117
2022-06-03,20,53.0,48.486486486486484,4.513513513513516,20.37180423666912
2022-06-03,21,54.0,50.08783783783784,3.9121621621621614,15.305012783053318
2022-06-03,22,56.0,51.0,5.0,25.0
2022-06-03,23,56.0,51.91891891891892,4.081081081081081,16.65522279035792
2022-06-04,0,55.0,52.74324324324324,2.256756756756758,5.09295105916728
2022-06-04,1,57.0,53.229729729729726,3.7702702702702737,14.214937910883883
2022-06-04,2,57.0,53.391891891891895,3.6081081081081052,13.01844411979545
2022-06-04,3,57.0,53.432432432432435,3.567567567567565,12.727538349159952
2022-06-04,4,57.0,53.36486486486486,3.635135135135137,13.21420745069395
2022-06-04,5,57.0,53.28378378378378,3.7162162162162176,13.81026296566838
2022-06-04,6,56.0,52.472972972972975,3.5270270270270245,12.43991964937909
2022-06-04,7,53.0,48.96621621621622,4.033783783783782,16.27141161431701
2022-06-04,8,49.0,42.601351351351354,6.398648648648646,40.94270452885314
2022-06-04,9,38.0,35.472972972972975,2.5270270270270245,6.3858655953250425
2022-06-04,10,30.0,30.52027027027027,0.5202702702702702,0.2706811541271
2022-06-04,11,35.0,29.14189189189189,5.858108108108109,34.31743060628197
2022-06-04,12,38.0,29.695945945945947,8.304054054054053,68.95731373265154
2022-06-04,13,37.0,29.945945945945947,7.054054054054053,49.75967859751641
2022-06-04,14,38.0,27.37837837837838,10.621621621621621,112.81884587289991
2022-06-04,15,37.0,27.43918918918919,9.56081081081081,91.40910336011687
2022-06-04,16,41.0,30.31756756756757,10.682432432432432,114.11436267348428
2022-06-04,17,48.0,35.608108108108105,12.391891891891895,153.55898466033608
2022-06-04,18,52.0,40.86486486486486,11.135135135135137,123.99123447772101
2022-06-04,19,55.0,45.33108108108108,9.66891891891892,93.4879930606282
2022-06-04,20,53.0,48.486486486486484,4.513513513513516,20.37180423666912
2022-06-04,21,53.0,50.08783783783784,2.9121621621621614,8.480688458728995
2022-06-04,22,55.0,51.0,4.0,16.0
2022-06-04,23,56.0,51.91891891891892,4.081081081081081,16.65522279035792
2022-06-05,0,57.0,52.74324324324324,4.256756756756758,18.119978086194312
2022-06-05,1,59.0,53.229729729729726,5.770270270270274,33.29601899196498
2022-06-05,2,59.0,53.391891891891895,5.608108108108105,31.45087655222787
2022-06-05,3,59.0,53.432432432432435,5.567567567567565,30.99780861943021
2022-06-05,4,59.0,53.36486486486486,5.635135135135137,31.754747991234495
2022-06-05,5,59.0,53.28378378378378,5.716216216216218,32.67512783053325
2022-06-05,6,59.0,52.472972972972975,6.5270270270270245,42.60208181154124
2022-06-05,7,58.0,48.96621621621622,9.033783783783782,81.60924945215483
2022-06-05,8,54.0,42.601351351351354,11.398648648648646,129.9291910153396
2022-06-05,9,49.0,35.472972972972975,13.527027027027025,182.98046018991957
2022-06-05,10,50.0,30.52027027027027,19.47972972972973,379.4598703433163
2022-06-05,11,50.0,29.14189189189189,20.85810810810811,435.06067384952524
2022-06-05,12,50.0,29.695945945945947,20.304054054054053,412.2546110299488
2022-06-05,13,45.0,29.945945945945947,15.054054054054053,226.62454346238127
2022-06-05,14,46.0,27.37837837837838,18.62162162162162,346.7647918188459
2022-06-05,15,48.0,27.43918918918919,20.56081081081081,422.7469411979547
2022-06-05,16,52.0,30.31756756756757,21.68243243243243,470.12787618699775
2022-06-05,17,55.0,35.608108108108105,19.391891891891895,376.0454711468226
2022-06-05,18,57.0,40.86486486486486,16.135135135135137,260.3425858290724
2022-06-05,19,58.0,45.33108108108108,12.66891891891892,160.50150657414173
2022-06-05,20,58.0,48.486486486486484,9.513513513513516,90.50693937180428
2022-06-05,21,60.0,50.08783783783784,9.912162162162161,98.25095872899925
2022-06-05,22,63.0,51.0,12.0,144.0
2022-06-05,23,63.0,51.91891891891892,11.08108108108108,122.79035792549305
2022-06-06,0,63.0,52.74324324324324,10.256756756756758,105.2010591672754
2022-06-06,1,63.0,53.229729729729726,9.770270270270274,95.45818115412716
2022-06-06,2,62.0,53.391891891891895,8.608108108108105,74.0995252008765
2022-06-06,3,62.0,53.432432432432435,8.567567567567565,73.4032140248356
2022-06-06,4,62.0,53.36486486486486,8.635135135135137,74.56555880204532
2022-06-06,5,62.0,53.28378378378378,8.716216216216218,75.97242512783056
2022-06-06,6,62.0,52.472972972972975,9.527027027027025,90.76424397370339
2022-06-06,7,46.0,48.96621621621622,2.9662162162162176,8.798438641344054
2022-06-06,8,28.0,42.601351351351354,14.601351351351354,213.19946128561003
